Title,Artist,BPM,Key,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
Shoulder Lean (Intro Dirty),Young Dro ft T.I.,152,8A,Hip Hop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Young Dro ft T.I. - Shoulder Lean (Intro Dirty)_pn.mp3,8A - Energy 7,,-12.7 dB,7,8,0
Hey Boy (Intro Clean),Sia,93,6B,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Sia - Hey Boy (Intro Clean)_pn.mp3,6B - Energy 7,2020,-13.4 dB,7,8,0
PAT EARRINGS,CASISDEAD,102,8B,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\CASISDEAD - PAT EARRINGS_pn.mp3,8B - Energy 5 - www.mediahuman.com,,-13.2 dB,5,7,0
Wildfire (OVO Remix) (Quick Hit Dirty),SBTRKT ft Drake,140,5A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\SBTRKT ft Drake - Wildfire (OVO Remix) (Quick Hit Dirty)_pn.mp3,5A - Energy 7,2019,-13.4 dB,7,7,0
7 rings,Ariana Grande,140,12A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Ariana Grande - 7 rings_pn.mp3,12A - Energy 5 - www.mediahuman.com,,-13.3 dB,5,8,0
Rio,Duran Duran,141,9A,Rock,Decade: Greatest Hits,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Duran Duran - Rio_pn.mp3,9A - Energy 7 - Entire album is... GREAT!,1989,-13.4 dB,7,8,0
Save Me (feat. Hanniou),BENNETT,140,11A,,Save Me,,3/8/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\BENNETT - Save Me (feat. Hanniou)_pn.mp3,11A - Energy 7 - www.mediahuman.com,2025,-11.0 dB,7,8,0
Diamonds Dancing (Quick Hit Dirty),"Young Stoner Life, Young Thug, Gunna, Travis Scott",148,11A,Hip Hop,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Young Stoner Life, Young Thug, Gunna, Travis Scott - Diamonds Dancing (Quick Hit Dirty)_pn.mp3",11A - Energy 5,2021,-12.9 dB,5,8,0
Let's Get Married (ReMarqable Remix - Official Video) ft. Reverend Run,Jagged Edge,110,2A,,,,1/13/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Karan's Bday\Karan's Songs with Cues and Platinum Notes\Jagged Edge - Let's Get Married (ReMarqable Remix - Official Video) ft. Reverend Run_pn.mp3,2A - Energy 8 - www.mediahuman.com,,-13.7 dB,8,8,0
"""Winter Wonderland / Here Comes Santa Claus""",Pitch Perfect 2 | Snoop Dogg x Anna Kendrick,124,9B,,,,12/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Pitch Perfect 2 _ Snoop Dogg x Anna Kendrick - Winter Wonderland _ Here Comes Santa Claus_pn.mp3,9B - Energy 5 - www.mediahuman.com,,-13.8 dB,5,6,0
Hungry Like The Wolf (Intro Clean),Duran Duran,128,9A,Nu Wave,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Duran Duran - Hungry Like The Wolf (Intro Clean)_pn.mp3,9A - Energy 7,1984,-12.7 dB,7,6,0
Chambea (DJDX) (Intro Dirty),Bad Bunny,116,4A,Latin Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Bad Bunny - Chambea (DJDX) (Intro Dirty)_pn.mp3,4A - Energy 7,2017,-12.9 dB,7,8,0
Gangsta's Paradise (Intro Clean),Coolio ft L.V.,80,5A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Coolio ft L.V. - Gangsta's Paradise (Intro Clean)_pn.mp3,5A - Energy 6,1996,-12.9 dB,6,8,0
Dangerous (feat. Sam Martin) (Robin Schulz Remix Radio Edit),David Guetta,116,9A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\David Guetta - Dangerous (feat. Sam Martin) (Robin Schulz Remix Radio Edit)_pn.mp3,9A - Energy 7 - www.mediahuman.com,,-12.7 dB,7,6,0
Toxic Pony (Intro Clean),"ALTEGO, Britney Spears & Ginuwine",143,5A,Pop,,,2/8/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs 2\ALTEGO, Britney Spears & Ginuwine - Toxic Pony (Intro Clean).mp3",5A - Energy 6,2022,-15.5 dB,6,3,5
Levels (Radio Edit),Avicii,128,12A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Avicii - Levels (Radio Edit)_pn.mp3,12A - Energy 8 - www.mediahuman.com,,-12.9 dB,8,8,0
Live and Die,Dynoro feat. Sophie Simmons,126,12A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Dynoro feat. Sophie Simmons - Live and Die_pn.mp3,12A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
Roses (Imanbek Remix) (Dirty Extended),SAINt JHN,122,4A,Future House,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\SAINt JHN - Roses (Imanbek Remix) (Dirty Extended)_pn.mp3,4A - Energy 6,2019,-13.1 dB,6,8,0
Summer,Calvin Harris,128,9B,,,,2/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\SAS LT\Calvin Harris - Summer_pn.mp3,9B - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Prisoner (Official Video) ft. Dua Lipa,Miley Cyrus,128,2A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Miley Cyrus - Prisoner (Official Video) ft. Dua Lipa_pn.mp3,2A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,7,0
The Motto,Tiësto & Ava Max,118,6A,House,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Tiësto & Ava Max - The Motto_pn.mp3,6A - Energy 7,2021,-13.1 dB,7,8,0
Jesus Lord (Quick Hit Clean),"Kanye West ft The LOX, Jay Electronica & Swizz Beatz",82,2A,Hip Hop,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Kanye West ft The LOX, Jay Electronica & Swizz Beatz - Jesus Lord (Quick Hit Clean)_pn.mp3",2A - Energy 6,2021,-12.7 dB,6,7,0
Money Man “Courtesy” (EPIDEMIC) Prod by Nflated,,120,7A,,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Money Man “Courtesy” (EPIDEMIC) Prod by Nflated_pn.mp3,7A - Energy 6 - www.mediahuman.com,,-13.4 dB,6,8,0
Money Ain't A Thang (BPM Supreme Acapella In Edit) (Dirty),Jermaine Dupri ft Jay-Z,100,1A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Jermaine Dupri ft Jay-Z - Money Ain't A Thang (BPM Supreme Acapella In Edit) (Dirty)_pn.mp3,1A - Energy 6,2018,-12.9 dB,6,7,0
Night Vision,Transviolet,121,5A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Transviolet - Night Vision_pn.mp3,5A - Energy 5 - www.mediahuman.com,,-13.3 dB,5,8,0
Easy On Me,Adele,142,7B,,,,2/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\SAS LT\Adele - Easy On Me_pn.mp3,7B - Energy 4 - www.mediahuman.com,,-13.0 dB,4,4,0
Do You Miss Me (Free Floor Mix) (Clean Short Edit),Jocelyn Enriquez,131,10A,Dance,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Jocelyn Enriquez - Do You Miss Me (Free Floor Mix) (Clean Short Edit)_pn.mp3,10A - Energy 6,1997,-13.0 dB,6,8,0
Marinero | NUEBO TALENTO #14,Mariagrep & Carreño,103,5A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Mariagrep & Carreño - Marinero _ NUEBO TALENTO #14_pn.mp3,5A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
Tell These Niggas,Slim Thug,80,5A,,Cleaning Da Vault,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Slim Thug - Tell These Niggas_pn.mp3,5A - Energy 8 - www.mediahuman.com,2010,-12.9 dB,8,8,0
Discoteca (Intro Dirty),IAmChino & Pitbull,128,8A,Pop,,,2/8/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\IAmChino & Pitbull - Discoteca (Intro Dirty)_pn.mp3,8A - Energy 7,2022,-12.8 dB,7,8,0
Give It To Me (Intro Dirty),Timbaland ft Nelly Furtado & Justin Timberlake,111,1A,Hip Hop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Timbaland ft Nelly Furtado & Justin Timberlake - Give It To Me (Intro Dirty)_pn.mp3,1A - Energy 6,2007,-13.1 dB,6,8,0
M.a.a.d. City (1st Part Only) (Intro Dirty),Kendrick Lamar ft MC Eiht,150,12A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Kendrick Lamar ft MC Eiht - M.a.a.d. City (1st Part Only) (Intro Dirty)_pn.mp3,12A - Energy 7,2013,-12.7 dB,7,8,0
Dreams (2004 Remaster),Fleetwood Mac,121,8B,,Rumours,,2/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\SAS LT\Fleetwood Mac - Dreams (2004 Remaster)_pn.mp3,8B - Energy 5 - www.mediahuman.com,1977,-13.1 dB,5,8,0
Wanna Be A Baller (Intro Dirty),"Lil Troy ft Fat Pat, Yungstar, Lil Will & Hawk",92,3A,Hip Hop,,www.bpmsupreme.com,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Lil Troy ft Fat Pat, Yungstar, Lil Will & Hawk - Wanna Be A Baller (Intro Dirty)_pn.mp3",3A - Energy 6,,-13.4 dB,6,8,0
Healing,Tion Wayne,144,12A,,,,6/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Tion Wayne - Healing_pn.mp3,12A - Energy 6 - www.mediahuman.com,,-13.2 dB,6,3,0
Killer (Intro Dirty),Eminem,99,11A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Eminem - Killer (Intro Dirty)_pn.mp3,11A - Energy 5,2020,-12.9 dB,5,8,0
Tears Are Falling (Clean) (Short Edit),Angelina,130,9B,Dance,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Angelina - Tears Are Falling (Clean) (Short Edit)_pn.mp3,9B - Energy 8,,-13.2 dB,8,4,0
Show Out (Remix) (Intro Dirty),"Juicy J ft Young Jeezy, Pimp C, & T.I.",130,12A,Hip  Hop,,www.bpmsupreme.com,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Juicy J ft Young Jeezy, Pimp C, & T.I. - Show Out (Remix) (Intro Dirty)_pn.mp3","12A - Energy 8 - For Promotional Use Only By:
www.bpmsupreme.com ",,-13.2 dB,8,8,0
Dance Hall Days               ,Wang Chung                    ,103,8B,Pop,                              ,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive (Backup)\Wang Chung - Dance Hall Days.mp3,8B - Energy 5,,-19.5 dB,5,8,0
Unaccommodating (Intro Dirty),Eminem ft Young M.A,90,8A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Eminem ft Young M.A - Unaccommodating (Intro Dirty)_pn.mp3,8A - Energy 5,2020,-12.9 dB,5,8,0
Magic Stick (Intro Dirty),Lil Kim ft 50 Cent,93,7A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Lil Kim ft 50 Cent - Magic Stick (Intro Dirty)_pn.mp3,7A - Energy 6,,-13.0 dB,6,7,0
Everything She Wants          ,Wham                          ,115,11A,Pop,                              ,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Wham - Everything She Wants_pn.mp3,11A - Energy 6 - Energy 6                            ,,-13.3 dB,6,8,0
Big Fat Bass [HLM Remix] [Intro Clean],Britney Spears ft. Will.I.Am,130,6A,Dance/ Pop,BPMsupreme.com,www.BPMsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Big Fat Bass [HLM Remix] [Intro Clean]_pn.mp3,6A - Energy 8 - BPMsupreme.com,,-12.8 dB,8,8,0
How Ya Do Dat (Intro Dirty),"Young Bleed ft Master P, C-Loc, Gangsta T, Steady Mobb'n, Silkk The Shocker & King George",90,2A,Hip Hop,,www.bpmsupreme.com,1/13/2024,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Young Bleed ft Master P, C-Loc, Gangsta T, Steady Mobb'n, Silkk The Shocker & King George - How Ya Do Dat (Intro Dirty)_pn.mp3",2A - Energy 5,1997,-12.8 dB,5,8,0
Telephone (Intro Clean),Lady Gaga ft Beyonce,122,4A,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Lady Gaga ft Beyonce - Telephone (Intro Clean)_pn.mp3,4A - Energy 8,2010,-12.8 dB,8,7,0
Hello (Club Version) (Clean) (Extended),Martin Solveig & Dragonette,128,5B,Pop,,www.bpmsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Martin Solveig & Dragonette - Hello (Club Version) (Clean) (Extended)_pn.mp3,5B - Energy 7,2011,-12.9 dB,7,8,0
Tension,DILJIT DOSANJH,96,11A,,Advisory,,4/28/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\DILJIT DOSANJH - Tension_pn.mp3,11A - Energy 7 - www.mediahuman.com,2025,-11.1 dB,7,8,0
My Life (Quick Hit Dirty),The Game ft Lil Wayne,148,1A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\The Game ft Lil Wayne - My Life (Quick Hit Dirty)_pn.mp3,1A - Energy 4,2009,-12.9 dB,4,7,0
Bette Davis Eyes,Kim Carnes,116,7B,Rock,Only Rock 'N Roll 1980-1984,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\Kim Carnes - Bette Davis Eyes_pn.mp3,7B - Energy 5                            ,1994,-14.1 dB,5,5,0
abcdefu (Hook First - Dirty),GAYLE,122,12B,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\GAYLE - abcdefu (Hook First - Dirty)_pn.mp3,12B - Energy 7,2021,-12.8 dB,7,8,0
HIGHEST IN THE ROOM,Travis Scott,153,7A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Travis Scott - HIGHEST IN THE ROOM_pn.mp3,7A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
Para Elisa,Los Destellos,113,4A,,,,12/24/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs from Spotify 2\Songs from Spotify 2 Fixed\Los Destellos - Para Elisa_pn.mp3,4A - Energy 5 - www.mediahuman.com,,-13.3 dB,5,8,0
Stop! In the Name Of Love (Quick Hit Clean),The Supremes,114,8B,Pop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\The Supremes - Stop! In the Name Of Love (Quick Hit Clean)_pn.mp3,8B - Energy 5,1965,-12.8 dB,5,8,0
Sunglasses at Night (Dark Mix),"Pulsedriver, Corey Hart, Corey Hart, Pulsedriver",140,3A,Other,Sunglasses at Night,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Pulsedriver, Corey Hart, Corey Hart, Pulsedriver - Sunglasses at Night (Dark Mix)_pn.mp3",3A - Energy 7 - www.mediahuman.com,2019,-13.0 dB,7,7,0
Clarity (feat. Foxes) [Tiësto Remix],Zedd,128,4A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Zedd - Clarity (feat. Foxes) [Tiësto Remix]_pn.mp3,4A - Energy 8 - www.mediahuman.com,,-13.1 dB,8,8,0
Ima Boss (Quick Hit Dirty),Meek Mill ft Rick Ross,158,9A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Meek Mill ft Rick Ross - Ima Boss (Quick Hit Dirty)_pn.mp3,9A - Energy 5,2011,-12.7 dB,5,8,0
Rangilo Maro Dior,,150,6A,,,,4/28/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Rangilo Maro Dior_pn.mp3,6A - Energy 6 - www.mediahuman.com,,-11.4 dB,6,4,0
"Tum Bá Tum, SMU, Dj Vitin do Pc, Mc JF, Mc Nahara, R10. (Visualizer)",Tropa do Bruxo,130,11A,,,,3/22/2024,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Tropa do Bruxo - Tum Bá Tum, SMU, Dj Vitin do Pc, Mc JF, Mc Nahara, R10. (Visualizer)_pn.mp3",11A - Energy 5 - www.mediahuman.com,,-13.3 dB,5,5,0
Blue Savannah,Erasure,135,10B,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Erasure - Blue Savannah_pn.mp3,10B - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Turn It Up (Intro Dirty),Chamillionaire ft Lil Flip,83,11A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Chamillionaire ft Lil Flip - Turn It Up (Intro Dirty)_pn.mp3,11A - Energy 6,2005,-12.8 dB,6,8,0
Jigga My Nigga (Intro Dirty),Ruff Ryders ft Jay-Z,87,4B,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Ruff Ryders ft Jay-Z - Jigga My Nigga (Intro Dirty)_pn.mp3,4B - Energy 6,1999,-12.9 dB,6,8,0
Just What You Needed (Rocktakon remix),The Cars,127,12B,Baltimore,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive (Backup)\The Cars - Just What You Needed (Rocktakon remix).mp3,12B - Energy 8,,-9.7 dB,8,8,36752
The Fuck Shop (Intro Dirty),2 Live Crew,138,6A,Hip Hop,,www.bpmsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\2 Live Crew - The Fuck Shop (Intro Dirty)_pn.mp3,6A - Energy 6,1997,-13.9 dB,6,8,0
Don't You Want Me Baby (Short Edit),Human League,118,8A,Other,,www.bpmsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Human League - Don't You Want Me Baby (Short Edit)_pn.mp3,8A - Energy 7,,-13.4 dB,7,6,0
I Like It,Nate Smith,129,10A,,,,7/13/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Nate Smith - I Like It_pn.mp3,10A - Energy 7 - www.mediahuman.com,,-12.8 dB,7,8,0
United State of Pop 2009 (Blame It on the Pop),DJ Earworm,130,11B,,,,9/2/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\DJ Earworm - United State of Pop 2009 (Blame It on the Pop)_pn.mp3,11B - Energy 7 - www.mediahuman.com,,-12.8 dB,7,8,0
Yaar Tera Lit (YTL) - Ft Aneesha Joshi,Mickey Singh,84,3A,,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Indian Songs Fixed (Not Uploaded)\Mickey Singh - Yaar Tera Lit (YTL) - Ft Aneesha Joshi_pn.mp3,3A - Energy 6 - www.mediahuman.com,,-13.0 dB,6,8,0
Ooh Ahh (My Life Be Like) (Liquid Beats Remix) (feat. Tobymac),"Grits, Unknown",99,10A,Other,The Art of Transformation,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Grits, Unknown - Ooh Ahh (My Life Be Like) (Liquid Beats Remix) (feat. Tobymac)_pn.mp3",10A - Energy 6 - www.mediahuman.com,2004,-12.9 dB,6,8,0
What a Feeling (Les Bisous Remix),"Laurent Simeca, Stephan M",125,6A,,,,2/18/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Laurent Simeca, Stephan M - What a Feeling (Les Bisous Remix)_pn.mp3",6A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
Demons In The Dark,Money Man & Key Glock,144,7A,,,,10/26/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Money Man & Key Glock - Demons In The Dark_pn.mp3,7A - Energy 5 - www.mediahuman.com,,-13.0 dB,5,7,0
I Must Be High,South Park Mexican,81,7A,,Last Chair Violinist,,11/26/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\South Park Mexican - I Must Be High_pn.mp3,7A - Energy 6 - www.mediahuman.com,2008,-13.1 dB,6,8,0
Release Me (Remix) (Extended),Angelina,130,3A,Dance,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Angelina - Release Me (Remix) (Extended)_pn.mp3,3A - Energy 7,,-13.8 dB,7,8,0
You Be Killin Em (Intro Dirty),Fabolous,94,11A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Fabolous - You Be Killin Em (Intro Dirty)_pn.mp3,11A - Energy 6,2011,-12.8 dB,6,6,0
Still Tippin (Dirty),Mike Jones ft Slim Thug & Paul Wall,143,1A,Hip Hop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Mike Jones ft Slim Thug & Paul Wall - Still Tippin (Dirty)_pn.mp3,1A - Energy 6,,-13.3 dB,6,8,0
Vente Pa Ca (Intro Clean),Ricky Martin ft Maluma,100,10A,Latin Pop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Ricky Martin ft Maluma - Vente Pa Ca (Intro Clean)_pn.mp3,10A - Energy 7,2016,-12.8 dB,7,8,0
I Like It (Intro Clean),Enrique Iglesias ft Pitbull,129,4B,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Enrique Iglesias ft Pitbull - I Like It (Intro Clean)_pn.mp3,4B - Energy 8,2010,-12.8 dB,8,7,0
In And Out Of Love,Armin van Buuren feat. Sharon den Adel,135,4A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Armin van Buuren feat. Sharon den Adel - In And Out Of Love_pn.mp3,4A - Energy 6 - www.mediahuman.com,,-13.1 dB,6,8,0
Pink Walls,Elle Lexxa,127,8A,,Pink Walls,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Elle Lexxa - Pink Walls_pn.mp3,8A - Energy 7 - www.mediahuman.com,2022,-13.0 dB,7,7,0
Life Is Good (Lyrics) ft. Drake,Future,109,9A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Future - Life Is Good (Lyrics) ft. Drake_pn.mp3,9A - Energy 4 - www.mediahuman.com,,-12.9 dB,4,5,0
Pass Me Da Green,Master P,146,4A,Other,Ghetto D 10th Anniversary,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Master P - Pass Me Da Green_pn.mp3,4A - Energy 8 - www.mediahuman.com,2007,-13.2 dB,8,8,0
Motive,"Sam Smyers, Delove, B Martin",125,9A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Sam Smyers, Delove, B Martin - Motive_pn.mp3",9A - Energy 6 - www.mediahuman.com,,-12.8 dB,6,8,0
Bottle (feat. Lehmber Hussainpuri),Manni Sandhu,124,4A,,,,1/13/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Indian Songs Unfixed\Indian Songs Fixed\Manni Sandhu - Bottle (feat. Lehmber Hussainpuri)_pn.mp3,4A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,5,0
We Are Mirage,Eric Prydz & Empire Of The Sun,128,9A,,,,10/16/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Eric Prydz & Empire Of The Sun - We Are Mirage_pn.mp3,9A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
How Do U Want It (Quick Hit Dirty),2pac ft K-Ci & JoJo,92,3A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\2pac ft K-Ci & JoJo - How Do U Want It (Quick Hit Dirty)_pn.mp3,3A - Energy 6,2014,-13.0 dB,6,8,0
What's My Name (Quick Hit Dirty),Rihanna ft Drake,100,11A,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Rihanna ft Drake - What's My Name (Quick Hit Dirty)_pn.mp3,11A - Energy 6,2010,-12.7 dB,6,7,0
Don't Cha (Intro Dirty),Pussycat Dolls,120,2A,R&B,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Pussycat Dolls - Don't Cha (Intro Dirty)_pn.mp3,2A - Energy 6,2005,-12.8 dB,6,8,0
Angels (Remix),"Diddy - Dirty Money, Rick Ross",83,9A,Other,Angels,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Diddy - Dirty Money, Rick Ross - Angels (Remix)_pn.mp3",9A - Energy 6 - www.mediahuman.com,2010,-13.0 dB,6,8,0
Too Good (Intro Dirty),Drake ft Rihanna,118,10A,Dancehall,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Drake ft Rihanna - Too Good (Intro Dirty)_pn.mp3,10A - Energy 5,2016,-12.8 dB,5,8,0
